,Date,City,Country,Clouds,Humidity,Lat,Long,Max Temp,Wind Speed
0,1560992225,Thompson,CA,75,19,55.74,-97.86,80.6,8.05
1,1560992169,Kapaa,US,40,66,22.08,-159.32,86.0,10.29
2,1560992323,Japura,ID,29,97,-0.42,102.29,74.15,2.62
3,1560992244,Ucluelet,CA,75,71,48.94,-125.55,59.0,23.04
4,1560992178,Saint-Philippe,CA,40,78,45.36,-73.48,77.0,4.7
5,1560992125,Hilo,US,75,61,19.71,-155.08,82.4,11.41
6,1560992204,Villa Carlos Paz,AR,0,61,-31.42,-64.5,55.0,11.41
7,1560992328,Pimentel,BR,0,97,-3.7,-45.5,72.89,1.41
8,1560992330,Gizo,IL,40,83,31.8,34.94,73.4,5.82
9,1560992331,Bukid,PH,1,75,11.29,124.75,82.25,5.3
10,1560992147,Airai,TL,3,62,-8.93,125.41,74.15,4.74
11,1560992333,Ola,RU,100,90,59.58,151.3,47.87,8.61
12,1560992213,Hobart,AU,20,61,-42.88,147.33,50.0,9.17
13,1560992335,Tuktoyaktuk,CA,90,86,69.44,-133.03,39.2,12.75
14,1560992148,Rio Grande,BR,0,67,-32.03,-52.1,57.2,5.82
15,1560992048,Doha,QA,0,41,25.29,51.53,93.2,17.22
16,1560992339,Carnarvon,ZA,100,43,-30.97,22.13,49.49,7.54
17,1560992340,Alofi,NU,0,81,-19.06,-169.92,77.57,21.21
18,1560992238,Cabo San Lucas,MX,20,29,22.89,-109.91,97.0,6.93
19,1560992215,Georgetown,GY,20,83,6.8,-58.16,78.8,4.7
20,1560992133,Punta Arenas,CL,20,69,-53.16,-70.91,37.4,31.09
21,1560992344,Butaritari,KI,100,77,3.07,172.79,83.33,17.4
22,1560992143,Jamestown,AU,0,62,-33.21,138.6,46.43,5.59
23,1560992193,Clyde River,CA,90,83,70.47,-68.59,35.6,6.93
24,1560992120,Avarua,CK,60,78,-21.21,-159.78,78.8,5.82
25,1560992349,Broome,GB,85,100,52.47,1.45,60.01,1.12
26,1560992124,Upernavik,GL,100,96,72.79,-56.15,34.73,13.09
27,1560992118,Rikitea,PF,100,75,-23.12,-134.97,72.17,26.6
28,1560992352,Srednekolymsk,RU,100,41,67.46,153.71,69.11,11.65
29,1560992353,Clovis,US,1,25,36.83,-119.7,102.2,11.41
30,1560992355,Labuhan,ID,94,96,-2.54,115.51,75.41,1.05
31,1560992356,Ryotsu,JP,90,82,38.08,138.43,68.0,5.82
32,1560992336,Santa Fe,AR,3,64,-31.62,-60.7,55.0,3.15
33,1560992128,Vaini,IN,75,94,15.34,74.49,73.4,4.7
34,1560992360,Am Timan,TD,83,64,11.04,20.28,77.03,3.02
35,1560992361,Bambanglipuro,ID,87,83,-7.95,110.28,74.33,7.67
36,1560992198,Chuy,UY,50,76,-33.69,-53.46,53.99,17.52
37,1560992188,Ushuaia,AR,90,94,-54.81,-68.31,32.0,12.75
38,1560992364,Darhan,MN,100,47,49.49,105.92,70.37,2.8
39,1560992365,San Quintin,PH,61,75,17.54,120.52,83.33,2.57
